fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,group
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.5,1.5,2000,165,1.0825,0.0825,0.0008477706748370959,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.0008250000000000001,-0.004125,malware:Virut
0,42,confidence_budget,v60_rule,2.0,2.0,2000,2000,2.0,1.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.01,-0.05,benign:Weibo
0,42,confidence_budget,v60_rule,2.0,2.0,2000,2000,2.0,1.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.01,-0.05,malware:Virut
0,42,hashrandom_budget,v60_rule,2.0,2.0,2000,2000,2.0,1.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.01,-0.05,benign:Weibo
0,42,hashrandom_budget,v60_rule,2.0,2.0,2000,2000,2.0,1.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.01,-0.05,malware:Virut
0,42,probability_only_gain_classifier,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,-9.782741567421889e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.01,-0.05,benign:Weibo
0,42,probability_only_gain_classifier,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,-1.537050130469432e-05,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.01,-0.05,malware:Virut
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,4.061904615889736e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.01,-0.05,benign:Weibo
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,-0.00019752215331509412,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.01,-0.05,malware:Virut
0,42,probability_only_gain_regression,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,-0.00016615390216970005,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.01,-0.05,benign:Weibo
0,42,probability_only_gain_regression,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,0.00025117016503790765,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.01,-0.05,malware:Virut
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,0.0008782748757988265,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.01,-0.05,benign:Weibo
