fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,mean_delta
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,0.0009486055461789,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.005,-0.025,0.0
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,0.000326251539906,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,post_first_temporal_gain_regression_positive_stop,v60_rule_or_gain,,,4000,3876,1.969,0.969,0.0005475886354094,first_temporal,positive_score_stop,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.00969,-0.04845,0.0
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,6.607548061451251e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,3.762517243003978e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.0025,-0.0125,0.0
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,2.811329532667439e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.005,-0.025,0.0
0,42,probability_only_gain_classifier,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,-1.2576621436058102e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,probability_only_gain_classifier_positive_stop,v60_rule_or_gain,,,4000,1998,1.4995,0.4995,2.815122929753935e-05,first_temporal,positive_score_stop,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.004995,-0.024975,0.0
0,42,probability_only_gain_regression,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,probability_only_gain_regression,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,0.0003510169645469,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
0,42,probability_only_gain_regression,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,0.0003031443998777,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.0025,-0.0125,0.0
0,42,probability_only_gain_regression,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,0.0002867494950623,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.005,-0.025,0.0
0,42,probability_only_gain_regression,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,4.2508131434103815e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,probability_only_gain_regression_positive_stop,v60_rule_or_gain,,,4000,1998,1.4995,0.4995,0.0002872028518163,first_temporal,positive_score_stop,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.004995,-0.024975,0.0
1,42,all_average,v60_baseline,1.0,1.0,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,all_average,v60_baseline,1.1,1.1,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,all_average,v60_baseline,1.25,1.25,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,all_average,v60_baseline,1.5,1.5,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,all_average,v60_baseline,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,confidence_budget,v60_rule,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,confidence_budget,v60_rule,1.1,1.1,4000,400,1.1,0.1,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0015,-0.005500000000000001,-0.0005
1,42,confidence_budget,v60_rule,1.25,1.25,4000,1000,1.25,0.25,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.003,-0.013000000000000001,-0.0005
1,42,confidence_budget,v60_rule,1.5,1.5,4000,2000,1.5,0.5,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0055,-0.025500000000000002,-0.0005
1,42,confidence_budget,v60_rule,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,first_stats,v60_baseline,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9867476733884092,0.9735,0.0,2000,0,53,1947,2,45,-43,-0.01075,-0.01075,-0.01075,-0.01075
1,42,first_stats,v60_baseline,1.1,1.1,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9867476733884092,0.9735,0.0,2000,0,53,1947,2,45,-43,-0.01075,-0.01075,-0.01075,-0.01075
1,42,first_stats,v60_baseline,1.25,1.25,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9867476733884092,0.9735,0.0,2000,0,53,1947,2,45,-43,-0.01075,-0.01075,-0.01075,-0.01075
1,42,first_stats,v60_baseline,1.5,1.5,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9867476733884092,0.9735,0.0,2000,0,53,1947,2,45,-43,-0.01075,-0.01075,-0.01075,-0.01075
1,42,first_stats,v60_baseline,2.0,2.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9867476733884092,0.9735,0.0,2000,0,53,1947,2,45,-43,-0.01075,-0.01075,-0.01075,-0.01075
1,42,first_temporal,v60_baseline,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,first_temporal,v60_baseline,1.1,1.1,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,first_temporal,v60_baseline,1.25,1.25,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,first_temporal,v60_baseline,1.5,1.5,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,first_temporal,v60_baseline,2.0,2.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,hashrandom_budget,v60_rule,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,hashrandom_budget,v60_rule,1.1,1.1,4000,400,1.1,0.1,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
1,42,hashrandom_budget,v60_rule,1.25,1.25,4000,1000,1.25,0.25,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,0,2,-2,-0.0005,-0.003,-0.013000000000000001,-0.0005
1,42,hashrandom_budget,v60_rule,1.5,1.5,4000,2000,1.5,0.5,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,1,3,-2,-0.0005,-0.0055,-0.025500000000000002,-0.0005
1,42,hashrandom_budget,v60_rule,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,0.055195859376433,first_temporal,exact_quota,0.9964999571244748,0.993,0.0,2000,0,14,1986,0,4,-4,-0.001,-0.002,-0.006000000000000001,-0.001
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,0.0220759785196948,first_temporal,exact_quota,0.9964999571244748,0.993,0.0,2000,0,14,1986,0,4,-4,-0.001,-0.0035,-0.013500000000000002,-0.001
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,0.0110349289084647,first_temporal,exact_quota,0.9964999571244748,0.993,0.0,2000,0,14,1986,0,4,-4,-0.001,-0.006,-0.026000000000000002,-0.001
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,0.0048878233124122,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,post_first_temporal_gain_classifier_positive_stop,v60_rule_or_gain,,,4000,38,1.0095,0.0095,0.5810347343474381,first_temporal,positive_score_stop,0.9964999571244748,0.993,0.0,2000,0,14,1986,0,4,-4,-0.001,-0.001095,-0.001475,-0.001
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,0.1027147710054137,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0015,-0.005500000000000001,-0.0005
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,0.0462358867623227,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.003,-0.013000000000000001,-0.0005
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,0.0232948827467974,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0055,-0.025500000000000002,-0.0005
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,0.0035398865280427,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
