method,prefix_packets,round,capture,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
allavg,16,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.9350529,0.0025096,0.064289,0.749706,0.1030943,0.0048249,0.0063025,0.0042247,0.0001019,0.0
allavg,16,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.7842938,0.0022656,0.0633416,0.6113927,0.0932448,0.0044097,0.0057884,0.0037516,9.94e-05,0.0
allavg,16,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.9455511,0.0026196,0.0942101,0.7059648,0.1254404,0.0053417,0.007162,0.0047038,0.0001087,0.0
allavg,16,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.9636193,0.0027721,0.0817445,0.7512683,0.1106411,0.005116,0.0075674,0.0043972,0.0001127,0.0
allavg,16,1,Malware\Virut\Virut.pcap,0.7913786,0.0017529,0.0870935,0.6615569,0.0250191,0.0075852,0.0015449,0.0067928,3.33e-05,0.0
fixed_low_confidence,8,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.8445912,0.0024197,0.0667346,0.6624684,0.107764,0.005051,0.0,0.0,6.81e-05,8.54e-05
fixed_low_confidence,8,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.8009548,0.0024818,0.0683193,0.6212358,0.1036586,0.0050908,0.0,0.0,6.78e-05,0.0001007
fixed_low_confidence,8,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.833184,0.0026089,0.0710049,0.6485946,0.1057533,0.0050683,0.0,0.0,6.94e-05,8.46e-05
fixed_low_confidence,8,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.8232909,0.00263,0.0724729,0.6386972,0.1042886,0.0050408,0.0,0.0,6.98e-05,9.16e-05
fixed_low_confidence,8,1,Malware\Virut\Virut.pcap,0.7620753,0.0023088,0.0932063,0.6302388,0.0286178,0.0076181,0.0,0.0,2.64e-05,5.91e-05
fixed_low_confidence,16,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.7925702,0.0021964,0.0569204,0.6360966,0.0926347,0.0045806,0.0,0.0,6.8e-05,7.35e-05
fixed_low_confidence,16,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.7837403,0.0023401,0.0675565,0.6132876,0.0958014,0.0046148,0.0,0.0,6.06e-05,7.93e-05
fixed_low_confidence,16,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.8029012,0.0022202,0.0647031,0.6302486,0.1007589,0.0048272,0.0,0.0,6.55e-05,7.77e-05
fixed_low_confidence,16,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.7761584,0.002162,0.063445,0.6136539,0.0921186,0.0046444,0.0,0.0,6.01e-05,7.44e-05
fixed_low_confidence,16,1,Malware\Virut\Virut.pcap,0.7754487,0.0015893,0.0768651,0.6658929,0.0233929,0.0076352,0.0,0.0,2.25e-05,5.08e-05
temporal,8,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.7807892,0.0024769,0.0577148,0.605835,0.1094144,0.0053481,0.0,0.0,0.0,0.0
temporal,8,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.8435762,0.0026082,0.0808158,0.6317336,0.1233276,0.005091,0.0,0.0,0.0,0.0
temporal,8,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.8614197,0.0023186,0.0739587,0.6762229,0.104007,0.0049125,0.0,0.0,0.0,0.0
temporal,8,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.9407194,0.0023435,0.0793415,0.7523847,0.1018221,0.0048276,0.0,0.0,0.0,0.0
temporal,8,1,Malware\Virut\Virut.pcap,0.89913,0.0015178,0.0848052,0.7787528,0.0264492,0.007605,0.0,0.0,0.0,0.0
