fold_id,condition,arbiter,candidate,low,high,same_selection_pattern_as_selected,best_rank_tuple,selected,outer_same_as_selected,outer_errors,outer_fp,outer_fn
2,row100,hgb,14,1.01,0.75,True,True,False,False,2367,2360,7
2,row100,hgb,15,1.01,1.01,True,True,False,False,2366,2360,6
2,source_concentrated,logistic,0,0.25,0.25,True,True,True,True,2366,2360,6
2,source_concentrated,logistic,1,0.25,0.5,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,2,0.25,0.75,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,3,0.25,1.01,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,4,0.5,0.25,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,5,0.5,0.5,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,6,0.5,0.75,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,7,0.5,1.01,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,8,0.75,0.25,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,9,0.75,0.5,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,10,0.75,0.75,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,11,0.75,1.01,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,12,1.01,0.25,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,13,1.01,0.5,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,14,1.01,0.75,True,True,False,True,2366,2360,6
2,source_concentrated,logistic,15,1.01,1.01,True,True,False,True,2366,2360,6
2,source_concentrated,hgb,0,0.25,0.25,True,True,True,True,2362,2360,2
2,source_concentrated,hgb,1,0.25,0.5,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,2,0.25,0.75,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,3,0.25,1.01,True,True,False,False,2361,2360,1
2,source_concentrated,hgb,4,0.5,0.25,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,5,0.5,0.5,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,6,0.5,0.75,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,7,0.5,1.01,True,True,False,False,2361,2360,1
2,source_concentrated,hgb,8,0.75,0.25,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,9,0.75,0.5,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,10,0.75,0.75,True,True,False,True,2362,2360,2
2,source_concentrated,hgb,11,0.75,1.01,True,True,False,False,2361,2360,1
2,source_concentrated,hgb,12,1.01,0.25,True,True,False,False,2367,2360,7
2,source_concentrated,hgb,13,1.01,0.5,True,True,False,False,2367,2360,7
2,source_concentrated,hgb,14,1.01,0.75,True,True,False,False,2367,2360,7
2,source_concentrated,hgb,15,1.01,1.01,True,True,False,False,2366,2360,6
3,row100,logistic,0,0.25,0.25,True,True,True,True,180,180,0
3,row100,logistic,1,0.25,0.5,True,True,False,True,180,180,0
3,row100,logistic,2,0.25,0.75,True,True,False,False,185,185,0
3,row100,logistic,3,0.25,1.01,True,True,False,False,185,185,0
3,row100,logistic,4,0.5,0.25,True,True,False,True,180,180,0
3,row100,logistic,5,0.5,0.5,True,True,False,True,180,180,0
3,row100,logistic,6,0.5,0.75,True,True,False,False,185,185,0
3,row100,logistic,7,0.5,1.01,True,True,False,False,185,185,0
3,row100,logistic,8,0.75,0.25,True,True,False,True,180,180,0
3,row100,logistic,9,0.75,0.5,True,True,False,True,180,180,0
3,row100,logistic,10,0.75,0.75,True,True,False,False,185,185,0
3,row100,logistic,11,0.75,1.01,True,True,False,False,185,185,0
3,row100,logistic,12,1.01,0.25,False,False,False,False,172,150,22
3,row100,logistic,13,1.01,0.5,False,False,False,False,172,150,22
3,row100,logistic,14,1.01,0.75,False,False,False,False,177,155,22
3,row100,logistic,15,1.01,1.01,False,False,False,False,177,155,22
3,row100,hgb,0,0.25,0.25,True,True,True,True,175,175,0
3,row100,hgb,1,0.25,0.5,True,True,False,False,179,179,0
3,row100,hgb,2,0.25,0.75,True,True,False,False,179,179,0
3,row100,hgb,3,0.25,1.01,True,True,False,False,185,185,0
3,row100,hgb,4,0.5,0.25,True,True,False,True,175,175,0
3,row100,hgb,5,0.5,0.5,True,True,False,False,179,179,0
3,row100,hgb,6,0.5,0.75,True,True,False,False,179,179,0
3,row100,hgb,7,0.5,1.01,True,True,False,False,185,185,0
3,row100,hgb,8,0.75,0.25,True,True,False,False,157,157,0
3,row100,hgb,9,0.75,0.5,True,True,False,False,161,161,0
3,row100,hgb,10,0.75,0.75,True,True,False,False,161,161,0
3,row100,hgb,11,0.75,1.01,True,True,False,False,167,167,0
3,row100,hgb,12,1.01,0.25,False,False,False,False,167,145,22
3,row100,hgb,13,1.01,0.5,False,False,False,False,171,149,22
3,row100,hgb,14,1.01,0.75,False,False,False,False,171,149,22
3,row100,hgb,15,1.01,1.01,False,False,False,False,177,155,22
3,source_concentrated,logistic,0,0.25,0.25,True,True,True,True,175,175,0
3,source_concentrated,logistic,1,0.25,0.5,True,True,False,False,180,180,0
3,source_concentrated,logistic,2,0.25,0.75,True,True,False,False,185,185,0
3,source_concentrated,logistic,3,0.25,1.01,True,True,False,False,185,185,0
3,source_concentrated,logistic,4,0.5,0.25,True,True,False,True,175,175,0
3,source_concentrated,logistic,5,0.5,0.5,True,True,False,False,180,180,0
3,source_concentrated,logistic,6,0.5,0.75,True,True,False,False,185,185,0
3,source_concentrated,logistic,7,0.5,1.01,True,True,False,False,185,185,0
3,source_concentrated,logistic,8,0.75,0.25,True,True,False,True,175,175,0
3,source_concentrated,logistic,9,0.75,0.5,True,True,False,False,180,180,0
3,source_concentrated,logistic,10,0.75,0.75,True,True,False,False,185,185,0
3,source_concentrated,logistic,11,0.75,1.01,True,True,False,False,185,185,0
3,source_concentrated,logistic,12,1.01,0.25,False,False,False,False,167,145,22
3,source_concentrated,logistic,13,1.01,0.5,False,False,False,False,172,150,22
3,source_concentrated,logistic,14,1.01,0.75,False,False,False,False,177,155,22
3,source_concentrated,logistic,15,1.01,1.01,False,False,False,False,177,155,22
3,source_concentrated,hgb,0,0.25,0.25,True,True,True,True,179,179,0
3,source_concentrated,hgb,1,0.25,0.5,True,True,False,True,179,179,0
3,source_concentrated,hgb,2,0.25,0.75,True,True,False,True,179,179,0
3,source_concentrated,hgb,3,0.25,1.01,True,True,False,False,185,185,0
3,source_concentrated,hgb,4,0.5,0.25,True,True,False,False,161,161,0
3,source_concentrated,hgb,5,0.5,0.5,True,True,False,False,161,161,0
3,source_concentrated,hgb,6,0.5,0.75,True,True,False,False,161,161,0
3,source_concentrated,hgb,7,0.5,1.01,True,True,False,False,167,167,0
3,source_concentrated,hgb,8,0.75,0.25,True,True,False,False,161,161,0
3,source_concentrated,hgb,9,0.75,0.5,True,True,False,False,161,161,0
3,source_concentrated,hgb,10,0.75,0.75,True,True,False,False,161,161,0
3,source_concentrated,hgb,11,0.75,1.01,True,True,False,False,167,167,0
3,source_concentrated,hgb,12,1.01,0.25,False,False,False,False,171,149,22
3,source_concentrated,hgb,13,1.01,0.5,False,False,False,False,171,149,22
3,source_concentrated,hgb,14,1.01,0.75,False,False,False,False,171,149,22
3,source_concentrated,hgb,15,1.01,1.01,False,False,False,False,177,155,22
4,row100,logistic,0,0.25,0.25,True,True,True,True,27,0,27
4,row100,logistic,1,0.25,0.5,True,True,False,True,27,0,27
4,row100,logistic,2,0.25,0.75,True,True,False,True,27,0,27
4,row100,logistic,3,0.25,1.01,True,True,False,True,27,0,27
4,row100,logistic,4,0.5,0.25,True,True,False,True,27,0,27
4,row100,logistic,5,0.5,0.5,True,True,False,True,27,0,27
4,row100,logistic,6,0.5,0.75,True,True,False,True,27,0,27
4,row100,logistic,7,0.5,1.01,True,True,False,True,27,0,27
4,row100,logistic,8,0.75,0.25,True,True,False,True,27,0,27
4,row100,logistic,9,0.75,0.5,True,True,False,True,27,0,27
4,row100,logistic,10,0.75,0.75,True,True,False,True,27,0,27
4,row100,logistic,11,0.75,1.01,True,True,False,True,27,0,27
4,row100,logistic,12,1.01,0.25,True,True,False,True,27,0,27
4,row100,logistic,13,1.01,0.5,True,True,False,True,27,0,27
4,row100,logistic,14,1.01,0.75,True,True,False,True,27,0,27
4,row100,logistic,15,1.01,1.01,True,True,False,True,27,0,27
4,row100,hgb,0,0.25,0.25,True,True,True,True,26,2,24
4,row100,hgb,1,0.25,0.5,True,True,False,True,26,2,24
4,row100,hgb,2,0.25,0.75,True,True,False,True,26,2,24
4,row100,hgb,3,0.25,1.01,True,True,False,False,22,2,20
4,row100,hgb,4,0.5,0.25,True,True,False,True,26,2,24
4,row100,hgb,5,0.5,0.5,True,True,False,True,26,2,24
4,row100,hgb,6,0.5,0.75,True,True,False,True,26,2,24
4,row100,hgb,7,0.5,1.01,True,True,False,False,22,2,20
4,row100,hgb,8,0.75,0.25,True,True,False,True,26,2,24
4,row100,hgb,9,0.75,0.5,True,True,False,True,26,2,24
4,row100,hgb,10,0.75,0.75,True,True,False,True,26,2,24
4,row100,hgb,11,0.75,1.01,True,True,False,False,22,2,20
4,row100,hgb,12,1.01,0.25,True,True,False,False,31,0,31
4,row100,hgb,13,1.01,0.5,True,True,False,False,31,0,31
4,row100,hgb,14,1.01,0.75,True,True,False,False,31,0,31
4,row100,hgb,15,1.01,1.01,True,True,False,False,27,0,27
4,source_concentrated,logistic,0,0.25,0.25,True,True,True,True,27,0,27
4,source_concentrated,logistic,1,0.25,0.5,True,True,False,True,27,0,27
4,source_concentrated,logistic,2,0.25,0.75,True,True,False,True,27,0,27
4,source_concentrated,logistic,3,0.25,1.01,True,True,False,True,27,0,27
4,source_concentrated,logistic,4,0.5,0.25,True,True,False,True,27,0,27
4,source_concentrated,logistic,5,0.5,0.5,True,True,False,True,27,0,27
4,source_concentrated,logistic,6,0.5,0.75,True,True,False,True,27,0,27
4,source_concentrated,logistic,7,0.5,1.01,True,True,False,True,27,0,27
4,source_concentrated,logistic,8,0.75,0.25,True,True,False,True,27,0,27
4,source_concentrated,logistic,9,0.75,0.5,True,True,False,True,27,0,27
4,source_concentrated,logistic,10,0.75,0.75,True,True,False,True,27,0,27
4,source_concentrated,logistic,11,0.75,1.01,True,True,False,True,27,0,27
4,source_concentrated,logistic,12,1.01,0.25,True,True,False,True,27,0,27
4,source_concentrated,logistic,13,1.01,0.5,True,True,False,True,27,0,27
4,source_concentrated,logistic,14,1.01,0.75,True,True,False,True,27,0,27
4,source_concentrated,logistic,15,1.01,1.01,True,True,False,True,27,0,27
4,source_concentrated,hgb,0,0.25,0.25,True,True,True,True,24,2,22
4,source_concentrated,hgb,1,0.25,0.5,True,True,False,True,24,2,22
4,source_concentrated,hgb,2,0.25,0.75,True,True,False,True,24,2,22
4,source_concentrated,hgb,3,0.25,1.01,True,True,False,False,19,2,17
4,source_concentrated,hgb,4,0.5,0.25,True,True,False,True,24,2,22
4,source_concentrated,hgb,5,0.5,0.5,True,True,False,True,24,2,22
4,source_concentrated,hgb,6,0.5,0.75,True,True,False,True,24,2,22
4,source_concentrated,hgb,7,0.5,1.01,True,True,False,False,19,2,17
4,source_concentrated,hgb,8,0.75,0.25,True,True,False,True,24,2,22
4,source_concentrated,hgb,9,0.75,0.5,True,True,False,True,24,2,22
4,source_concentrated,hgb,10,0.75,0.75,True,True,False,True,24,2,22
4,source_concentrated,hgb,11,0.75,1.01,True,True,False,False,19,2,17
4,source_concentrated,hgb,12,1.01,0.25,True,True,False,False,32,0,32
4,source_concentrated,hgb,13,1.01,0.5,True,True,False,False,32,0,32
4,source_concentrated,hgb,14,1.01,0.75,True,True,False,False,32,0,32
4,source_concentrated,hgb,15,1.01,1.01,True,True,False,False,27,0,27
