schema_version,candidate,candidate_type,warning_percentile,hard_percentile,warning_threshold,hard_threshold,macro_f1,coverage,minimum_class_coverage,selective_error_rate,benign_false_positive_rate,ood_auroc,feasible
2.0,temporal_only,rule,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771743526304993,0.7846682318831445,0.7667777817218423,0.02276022442938788,0.024608811542197368,0.49409461010636285,True
2.0,temporal_only,rule,0.975,0.999,0.9986106930326255,0.9990969504712066,0.9771743526304993,0.7846682318831445,0.7667777817218423,0.02276022442938788,0.024608811542197368,0.49409461010636285,True
2.0,weighted_mean_stats_025,weighted_mean,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771734878131229,0.7846351417361297,0.7667777817218423,0.022761184288477024,0.024608811542197368,0.5058932334512998,True
2.0,weighted_mean_stats_025,weighted_mean,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771734878131229,0.7846351417361297,0.7667777817218423,0.022761184288477024,0.024608811542197368,0.5058932334512998,True
2.0,weighted_mean_stats_025,weighted_mean,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771734878131229,0.7846351417361297,0.7667777817218423,0.022761184288477024,0.024608811542197368,0.5058932334512998,True
2.0,weighted_mean_stats_025,weighted_mean,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771734878131229,0.7846351417361297,0.7667777817218423,0.022761184288477024,0.024608811542197368,0.5058932334512998,True
2.0,weighted_mean_stats_025,weighted_mean,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771734878131229,0.7846351417361297,0.7667777817218423,0.022761184288477024,0.024608811542197368,0.5058932334512998,True
2.0,weighted_mean_stats_025,weighted_mean,0.975,0.999,0.9986106930326255,0.9990969504712066,0.9771734878131229,0.7846351417361297,0.7667777817218423,0.022761184288477024,0.024608811542197368,0.5058932334512998,True
2.0,mean,rule,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,mean,rule,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,mean,rule,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,mean,rule,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,mean,rule,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,mean,rule,0.975,0.999,0.9986106930326255,0.9990969504712066,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.975,0.999,0.9986106930326255,0.9990969504712066,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_075,weighted_mean,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771731171347116,0.784620960244552,0.7667777817218423,0.02276159568144209,0.024608811542197368,0.5264427045173092,True
2.0,weighted_mean_stats_075,weighted_mean,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771730759466511,0.7846193845232655,0.7667777817218423,0.022761641392689526,0.024608811542197368,0.5264427045173092,True
2.0,weighted_mean_stats_075,weighted_mean,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771730759466511,0.7846193845232655,0.7667777817218423,0.022761641392689526,0.024608811542197368,0.5264427045173092,True
2.0,weighted_mean_stats_075,weighted_mean,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771730759466511,0.7846193845232655,0.7667777817218423,0.022761641392689526,0.024608811542197368,0.5264427045173092,True
