schema_version,strategy,category,sample_count,benign_rate,malicious_rate,suspicious_rate,unknown_rate,alert_rate,average_risk_score,average_agent_calls
1.0,off,Search,20578,0.0010691029254543687,0.2328214598114491,0.6997278647098844,0.06638157255321217,0.9325493245213334,0.9455135119698498,2.881086597336962
1.0,off,Social,33848,0.010369888915150083,0.23841881351926258,0.6930690144173954,0.05814228314819192,0.931487827936658,0.9507949438087763,2.908561805719688
1.0,off,Software updates,20913,4.781714722899632e-05,0.3028259934012337,0.6933486348204466,0.003777554631090709,0.9961746282216803,0.9868155686051366,2.989288959020705
1.0,off,Streaming media,51529,0.0020570940635370374,0.1884375788391003,0.7439500087329465,0.06555531836441615,0.9323875875720468,0.9476122235335455,2.879524151448699
1.0,off,Videoconferencing,25370,3.941663381947182e-05,0.23992905005912496,0.6898305084745763,0.07020102483247931,0.9297595585337012,0.9443022864386273,2.906779661016949
1.0,off,Virtual assistant,153,0.0,0.08496732026143791,0.9150326797385621,0.0,1.0,0.9943558580302514,2.9869281045751634
1.0,off,Weather services,7873,0.0006350819255683983,0.2249460180363267,0.7293280833227487,0.04509081671535628,0.9542741013590753,0.9561545595133262,2.892544138193827
1.0,soft,Advertising,54173,0.0,0.0007199158252265889,0.030254924039650747,0.9690251601351226,0.030974839864877337,0.9296684559401155,2.9237812194266515
1.0,soft,Analytics & Telemetry,44194,0.0,0.0,0.011449518034122278,0.9885504819658777,0.011449518034122278,0.9115839027787203,2.8751414219124767
1.0,soft,Antivirus,41044,0.0,0.00012182048533281357,0.04811909170646136,0.9517590878082058,0.048240912191794175,0.9306578337346763,2.9278579085859078
1.0,soft,Authentication services,27690,0.0,0.00036114120621162876,0.006464427591188155,0.9931744312026002,0.006825568797399783,0.9637044219211257,2.959841097869267
1.0,soft,File sharing,34029,0.0,0.0013224014810896587,0.039378177436892065,0.9592994210820183,0.04070057891798172,0.9191402987659893,2.9075788298216225
1.0,soft,Games,11282,0.0,8.863676653075696e-05,0.1579507179578089,0.8419606452756604,0.15803935472433966,0.9155090449106403,2.9277610352774333
1.0,soft,Information Systems,8034,0.0,0.005850136918098083,0.11625591237241722,0.8778939507094847,0.12210604929051531,0.8867968289841087,2.888722927557879
1.0,soft,Instant messaging,8121,0.0,0.0023396133481098386,0.04790050486393301,0.9497598817879571,0.05024011821204285,0.937492724447817,2.9381849525920454
1.0,soft,Internet Banking,1758,0.0,0.0,0.04152445961319681,0.9584755403868032,0.04152445961319681,0.9071815730073086,2.8771331058020477
1.0,soft,Mail,20074,0.0,9.963136395337252e-05,0.00787087775231643,0.9920294908837302,0.007970509116269802,0.8903914958953056,2.858224569094351
1.0,soft,Music,16846,0.0,0.0004748901816454945,0.01264395108631129,0.9868811587320432,0.013118841267956784,0.9281553366934913,2.9172503858482726
1.0,soft,Notification services,9629,0.0,0.0016616471076955032,0.00789282376155364,0.9904455291307509,0.009554470869249144,0.9109759590886872,2.8503479073631737
1.0,soft,Other services and APIs,61839,0.0,0.0006630120150713951,0.034832387328385,0.9645046006565436,0.03549539934345639,0.911843941333787,2.901712511521855
1.0,soft,Remote Desktop,1020,0.0,0.0,0.10490196078431373,0.8950980392156863,0.10490196078431373,0.7629361379289168,2.73921568627451
1.0,soft,Search,20578,0.0,0.00043736028768587813,0.03907085236660511,0.9604917873457091,0.03950821265429099,0.8879827604594934,2.881086597336962
1.0,soft,Social,33848,0.0,0.0015658236823445995,0.08284093594894824,0.9155932403687072,0.08440675963129284,0.9167524971637184,2.908561805719688
