schema_version,strategy,application,sample_count,benign_rate,malicious_rate,suspicious_rate,unknown_rate,alert_rate,average_risk_score,average_agent_calls
1.0,stats_gate_only,vmware-vcsa,1607,0.0,0.05724953329184816,0.9421281891723708,0.0006222775357809583,0.9993777224642191,0.9997521356381057,2.999377722464219
1.0,stats_gate_only,vsb-sso,732,0.0,0.10792349726775956,0.8907103825136612,0.001366120218579235,0.9986338797814208,0.9995459582258006,2.9863387978142075
1.0,stats_gate_only,vscode-update,153,0.0,0.026143790849673203,0.9673202614379085,0.006535947712418301,0.9934640522875817,0.9979618812471565,2.9869281045751634
1.0,stats_gate_only,vse-insis,1379,0.0,0.16388687454677303,0.7121102248005802,0.12400290065264685,0.8759970993473531,0.9674234816068714,2.8107324147933284
1.0,stats_gate_only,vzp-api,499,0.0,0.004008016032064128,0.9919839679358717,0.004008016032064128,0.9959919839679359,0.997597651681706,2.9599198396793587
1.0,stats_gate_only,webex,635,0.0,0.025196850393700787,0.9748031496062992,0.0,1.0,0.9999086993752038,2.9937007874015746
1.0,stats_gate_only,whatsapp,1123,0.0,0.11130899376669635,0.8815672306322351,0.007123775601068566,0.9928762243989314,0.9951564111952278,2.9180765805877114
1.0,stats_gate_only,wikimedia-commons,2,0.0,0.0,1.0,0.0,1.0,0.9999940353079982,3.0
1.0,stats_gate_only,xbox-live,1970,0.0,0.02233502538071066,0.9771573604060914,0.0005076142131979696,0.999492385786802,0.9998475056989471,2.9578680203045686
1.0,stats_gate_only,xiaomi-account,2272,0.0,0.021566901408450703,0.9784330985915493,0.0,1.0,0.9980737455587975,2.9920774647887325
1.0,stats_gate_only,xiaomi-tracking,14,0.0,1.0,0.0,0.0,1.0,0.999913570321275,3.0
1.0,stats_gate_only,yahoo-mail,188,0.0,0.031914893617021274,0.9680851063829787,0.0,1.0,0.9999167260426113,2.824468085106383
1.0,stats_gate_only,youtube,8603,0.0,0.06706962687434616,0.9246774381029873,0.008252935022666512,0.9917470649773334,0.9926029737002627,2.902359641985354
1.0,stats_gate_only,zoom,1081,0.0,0.061979648473635525,0.9380203515263644,0.0,1.0,0.9999421144939308,2.9935245143385756
1.0,stats_gate_only,zotero,232,0.0,0.1810344827586207,0.8189655172413793,0.0,1.0,0.9999754000238357,3.0
1.0,temporal_gate_only,3dsecure,173,0.06936416184971098,0.05202312138728324,0.8728323699421965,0.005780346820809248,0.9248554913294798,0.9211829137965027,2.9248554913294798
1.0,temporal_gate_only,accuweather,2303,0.0,0.28137212331741207,0.7012592270950934,0.017368649587494574,0.9826313504125054,0.9244233746150907,2.996526270082501
1.0,temporal_gate_only,adobe-ads,1325,0.03245283018867925,0.1328301886792453,0.7932075471698113,0.04150943396226415,0.9260377358490566,0.9226880451523726,2.9471698113207547
1.0,temporal_gate_only,adobe-analytics,356,0.0,0.6151685393258427,0.3848314606741573,0.0,1.0,0.9981379588545461,3.0
1.0,temporal_gate_only,adobe-authentication,1029,0.0,0.5587949465500486,0.4412050534499514,0.0,1.0,0.9982504066271654,3.0
1.0,temporal_gate_only,adobe-cloud,831,0.0,0.15403128760529483,0.8411552346570397,0.0048134777376654635,0.9951865222623345,0.9930314396374951,2.996389891696751
1.0,temporal_gate_only,adobe-notifications,823,0.0,0.07897934386391252,0.9210206561360875,0.0,1.0,0.9996217083071767,3.0
