feature_name,mutual_information,single_feature_auc,permutation_importance,tree_importance_half_1,tree_importance_half_2,rank_stability_proxy,missingness_rate,shortcut_suspect,eligible,combined_score
MAX_TTL,0.3742676232252957,0.8345284333677063,4.9528896062822626e-05,0.0783215788497648,0.0,0.9216784211502352,0.0,False,False,1.1639643579301526
LONGEST_FLOW_PKT,0.2784655719443796,0.646729718824764,-9.903745291492961e-05,0.049113636580001625,0.0,0.9508863634199983,0.0,False,True,0.8000531540544066
SHORTEST_FLOW_PKT,0.454294897635366,0.5678474114441416,-0.000247619132324961,0.03855338397554701,0.0,0.961446616024453,0.0,False,True,1.0161739195416712
MIN_IP_PKT_LEN,0.28858483061912654,0.860970219030774,0.0,0.037988685930189114,0.0,0.9620113140698109,0.0,False,True,0.7393645749397458
MAX_IP_PKT_LEN,0.2742955041158548,0.646729718824764,-4.951365685963438e-05,0.06460648236245764,0.0,0.9353935176375423,0.0,False,False,0.9009088022855327
SRC_TO_DST_SECOND_BYTES,0.6032167746839323,0.8691581218031456,0.0,0.03788189100986925,0.0,0.9621181089901307,0.0,False,True,1.256742009483932
DST_TO_SRC_SECOND_BYTES,0.3501200493472454,0.8783282143824593,0.0,0.009570167132531178,0.0,0.9904298328674688,0.0,False,True,0.643101962581532
RETRANSMITTED_IN_BYTES,0.05075296872587476,0.5609605302994087,0.0,0.007733376881912552,0.0,0.9922666231180874,0.0,False,True,0.1373480670946186
RETRANSMITTED_IN_PKTS,0.05911669706821843,0.560994291473461,0.0,0.004788970800065032,0.0,0.995211029199935,0.0,False,True,0.13064839653878024
RETRANSMITTED_OUT_BYTES,0.037868743956674944,0.5503253478837875,0.0,1.24167316006023e-05,0.0,0.9999875832683994,0.0,False,True,0.062446668218379076
RETRANSMITTED_OUT_PKTS,0.03909035582532572,0.5503254332470595,0.0,0.0002527354178093488,0.0,0.9997472645821907,0.0,False,True,0.06612930744948983
SRC_TO_DST_AVG_THROUGHPUT,0.5454437205986289,0.583736845519794,0.0,0.029018115700458855,0.0,0.9709818842995411,0.0,False,True,1.0999738910960573
DST_TO_SRC_AVG_THROUGHPUT,0.32675838397234447,0.8487633422794043,0.0001981155842512905,0.015415347273046083,0.0,0.984584652726954,0.0,False,True,0.657531513036206
NUM_PKTS_UP_TO_128_BYTES,0.1372770717859757,0.6376425139825039,-0.00014858357345093332,0.020527310756362938,0.0,0.9794726892436371,0.0,False,True,0.36878859316387913
NUM_PKTS_128_TO_256_BYTES,0.15396916938802963,0.5940455561018805,-9.905571563395554e-05,0.01839063789483907,0.0,0.9816093621051609,0.0,False,True,0.38141987877746086
NUM_PKTS_256_TO_512_BYTES,0.011945980693439662,0.534119998565897,0.0,0.005780651034490765,0.0,0.9942193489655092,0.0,False,True,0.05986525787570039
NUM_PKTS_512_TO_1024_BYTES,0.019401345339832732,0.5277962162445167,0.0002476444803141131,0.004187277524454633,0.0,0.9958127224755454,0.0,False,True,0.07638663343964058
NUM_PKTS_1024_TO_1514_BYTES,0.020246282837450336,0.5272538891506695,0.0,0.0012981051315045981,0.0,0.9987018948684954,0.0,False,True,0.042366359919545744
TCP_WIN_MAX_IN,0.2361268204514888,0.7769500528114109,0.0005943793702934297,0.03393983925883826,0.0,0.9660601607411617,0.0,False,True,0.6616049093893004
TCP_WIN_MAX_OUT,0.18050667599255887,0.6953787454558285,0.0003962477987132562,0.014475067637671955,0.0,0.9855249323623281,0.0,False,True,0.4224132631108957
ICMP_TYPE,0.05102866415750103,0.5616138011923542,0.0,0.004061443754782211,0.0,0.9959385562452178,0.0,False,True,0.11227089256926333
ICMP_IPV4_TYPE,0.05049998892663614,0.5616248272816464,-9.905571563395554e-05,0.0035941276824533164,0.0,0.9964058723175467,0.0,False,True,0.10815101965445194
DNS_QUERY_ID,0.015267021436911277,0.5233310626702997,0.0,0.009321976210526686,0.0,0.9906780237894733,0.0,True,False,0.08995723070019274
DNS_QUERY_TYPE,0.01651767726630863,0.5233310626702997,0.0,0.008858105304335149,0.0,0.9911418946956648,0.0,False,True,0.08879142471140156
DNS_TTL_ANSWER,0.0051825539010248445,0.5082595367847411,0.0,3.0041072646924536e-07,0.0,0.9999996995892735,0.0,False,True,0.008536456647944278
FTP_COMMAND_RET_CODE,0.0,0.5,0.0,0.0,0.0,1.0,0.0,False,False,0.0
