dataset,kind,level,mode,verdict_stability,coverage,ood_escalation_rate,average_agent_calls,latency_p95_ms,selective_risk
cipherspectrum,iat_jitter,high,full_shadow,0.798,0.0023333333333333335,0.204,3.9393333333333334,39.837409948813715,
cipherspectrum,iat_jitter,low,baseline,0.99,0.005,0.013666666666666667,3.392,34.89862500864546,
cipherspectrum,iat_jitter,low,full_active,0.9946666666666667,0.0,0.013666666666666667,3.949,40.41627998230977,
cipherspectrum,iat_jitter,low,full_shadow,0.99,0.005,0.013666666666666667,3.9436666666666667,39.85807499557267,
cipherspectrum,iat_jitter,medium,baseline,0.8963333333333333,0.006,0.09166666666666666,3.233,34.27037998626473,
cipherspectrum,iat_jitter,medium,full_active,0.904,0.0,0.09166666666666666,3.946,40.26249998423736,
cipherspectrum,iat_jitter,medium,full_shadow,0.8963333333333333,0.006,0.09166666666666666,3.9393333333333334,40.41047500213607,
cipherspectrum,padding,high,baseline,0.9863333333333333,0.004,0.037333333333333336,3.005,34.52325995313004,
cipherspectrum,padding,high,full_active,0.9866666666666667,0.0,0.037333333333333336,3.9423333333333335,39.959155017277226,
cipherspectrum,padding,high,full_shadow,0.9863333333333333,0.004,0.037333333333333336,3.9383333333333335,39.73054499947464,
cipherspectrum,padding,low,baseline,0.988,0.004333333333333333,0.013666666666666667,3.388333333333333,34.70598000276368,
cipherspectrum,padding,low,full_active,0.988,0.0,0.013666666666666667,3.949,40.13338000222575,
cipherspectrum,padding,low,full_shadow,0.988,0.004333333333333333,0.013666666666666667,3.9446666666666665,39.75604998122435,
cipherspectrum,padding,medium,baseline,0.9816666666666667,0.004333333333333333,0.027,3.3053333333333335,34.13464502082206,
cipherspectrum,padding,medium,full_active,0.9816666666666667,0.0,0.027,3.9476666666666667,39.52694502368102,
cipherspectrum,padding,medium,full_shadow,0.9816666666666667,0.004333333333333333,0.027,3.9433333333333334,40.329174979706295,
cipherspectrum,sequence_truncation,high,baseline,0.45166666666666666,0.026333333333333334,0.347,3.021,33.771024984889664,
cipherspectrum,sequence_truncation,high,full_active,0.47533333333333333,0.0,0.347,3.3596666666666666,39.293635010835715,
cipherspectrum,sequence_truncation,high,full_shadow,0.45166666666666666,0.026333333333333334,0.347,3.323,39.41088001593015,
cipherspectrum,sequence_truncation,low,baseline,0.824,0.013,0.18833333333333332,3.247333333333333,33.98918500461149,
cipherspectrum,sequence_truncation,low,full_active,0.834,0.0,0.18833333333333332,3.897666666666667,39.313464987208135,
cipherspectrum,sequence_truncation,low,full_shadow,0.824,0.013,0.18833333333333332,3.884,40.1166450465098,
cipherspectrum,sequence_truncation,medium,baseline,0.7586666666666667,0.029,0.2836666666666667,3.207,34.579520029365085,
cipherspectrum,sequence_truncation,medium,full_active,0.7886666666666666,0.0,0.2836666666666667,3.7083333333333335,39.64808501186779,
cipherspectrum,sequence_truncation,medium,full_shadow,0.7586666666666667,0.029,0.2836666666666667,3.678,39.43735003704204,
