fold,seed,group,policy,target_budget,rows,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,effective_budget
2,42,benign:Outlook,all_average,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
2,42,malware:Zeus,all_average,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
2,42,benign:Outlook,confidence_budget,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.5
2,42,malware:Zeus,confidence_budget,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.5
2,42,benign:Outlook,hashrandom_budget,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.5
2,42,malware:Zeus,hashrandom_budget,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.5
2,42,benign:Outlook,probability_only_gain,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.5
2,42,malware:Zeus,probability_only_gain,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.5
2,42,benign:Outlook,post_first_temporal_gain,1.5,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.5
2,42,malware:Zeus,post_first_temporal_gain,1.5,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.5
2,42,benign:Outlook,first_temporal,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
2,42,malware:Zeus,first_temporal,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.0
2,42,benign:Outlook,first_stats,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.0
2,42,malware:Zeus,first_stats,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.0
2,42,benign:Outlook,all_average,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
2,42,malware:Zeus,all_average,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
2,42,benign:Outlook,confidence_budget,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
