fold,seed,policy,target_budget,budget,budget_semantics,rows,second_calls,simulated_second_calls,effective_budget,mean_predicted_delta_acquired,C,D,C_D_reference,C_D_is_applicable,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,scope
1,42,hashrandom_budget,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.0020365555081273664,0,2,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,0,2,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,probability_only_gain,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.010932296909712777,2,2,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,post_first_temporal_gain,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.04623588676232277,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_temporal,1.5,1.5,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_stats,1.5,1.5,repeated_reference_panel,4000,0,0,1.0,0.0,2,45,first_temporal,True,0.9867476733884093,0.9735,0.0,2000,0,53,1947,2,45,-43,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,all_average,1.5,1.5,repeated_reference_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,confidence_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.0018831329864442312,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,hashrandom_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.0015713804748118307,1,3,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,1,3,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,probability_only_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.005520080933332501,2,2,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,post_first_temporal_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.02329488274679753,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_temporal,2.0,2.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_stats,2.0,2.0,repeated_reference_panel,4000,0,0,1.0,0.0,2,45,first_temporal,True,0.9867476733884093,0.9735,0.0,2000,0,53,1947,2,45,-43,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,all_average,2.0,2.0,repeated_reference_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,confidence_budget,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,hashrandom_budget,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,probability_only_gain,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,post_first_temporal_gain,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,0.003539886528042806,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,positive_gain_no_call,,,unbounded_positive_gain,4000,1965,1965,1.49125,0.005628472930091301,2,2,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,post_first_temporal_positive_gain_no_call,,,unbounded_positive_gain,4000,1670,1670,1.4175,0.027914516117618127,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_temporal,1.0,1.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_stats,1.0,1.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,all_average,1.0,1.0,repeated_reference_panel,4000,4000,4000,2.0,-0.0013708889668891595,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,confidence_budget,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,hashrandom_budget,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,probability_only_gain,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,post_first_temporal_gain,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
