fold,group,method,coverage_target,accepted_rows,total_rows,coverage,accepted_error_count,accepted_error,malicious_correct_detected,malicious_missed,malicious_refused,normal_refused,base_pavg_malicious_correct_full,base_pavg_malicious_missed_full
2,__ALL__,risk_disagreement,0.7,2800,4000,0.7,0,0.0,843,1157,1157,43,1999,1
2,__ALL__,risk_disagreement,0.8,3200,4000,0.8,0,0.0,1243,757,757,43,1999,1
2,__ALL__,risk_disagreement,0.9,3600,4000,0.9,1,0.0002777777777777778,1599,401,400,0,1999,1
2,__ALL__,risk_disagreement,0.95,3800,4000,0.95,1,0.0002631578947368421,1799,201,200,0,1999,1
2,__ALL__,risk_disagreement,1.0,4000,4000,1.0,1,0.00025,1999,1,0,0,1999,1
2,__ALL__,risk_hgb,0.5,2000,4000,0.5,0,0.0,24,1976,1976,24,1999,1
2,__ALL__,risk_hgb,0.7,2800,4000,0.7,0,0.0,824,1176,1176,24,1999,1
2,__ALL__,risk_hgb,0.8,3200,4000,0.8,0,0.0,1224,776,776,24,1999,1
2,__ALL__,risk_hgb,0.9,3600,4000,0.9,0,0.0,1609,391,391,9,1999,1
2,__ALL__,risk_hgb,0.95,3800,4000,0.95,0,0.0,1809,191,191,9,1999,1
2,__ALL__,risk_hgb,1.0,4000,4000,1.0,1,0.00025,1999,1,0,0,1999,1
2,benign:Outlook,risk_pavg,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
2,benign:Outlook,risk_pavg,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
2,benign:Outlook,risk_pavg,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
2,benign:Outlook,risk_pavg,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
2,benign:Outlook,risk_pavg,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
2,benign:Outlook,risk_pavg,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
2,benign:Outlook,risk_disagreement,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
2,benign:Outlook,risk_disagreement,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
2,benign:Outlook,risk_disagreement,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
2,benign:Outlook,risk_disagreement,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
2,benign:Outlook,risk_disagreement,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
2,benign:Outlook,risk_disagreement,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
2,benign:Outlook,risk_hgb,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
2,benign:Outlook,risk_hgb,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
2,benign:Outlook,risk_hgb,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
2,benign:Outlook,risk_hgb,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
2,benign:Outlook,risk_hgb,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
2,benign:Outlook,risk_hgb,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
2,malware:Zeus,risk_pavg,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1999,1
2,malware:Zeus,risk_pavg,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1999,1
2,malware:Zeus,risk_pavg,0.8,1600,2000,0.8,1,0.000625,1599,401,400,0,1999,1
2,malware:Zeus,risk_pavg,0.9,1800,2000,0.9,1,0.0005555555555555556,1799,201,200,0,1999,1
2,malware:Zeus,risk_pavg,0.95,1900,2000,0.95,1,0.0005263157894736842,1899,101,100,0,1999,1
2,malware:Zeus,risk_pavg,1.0,2000,2000,1.0,1,0.0005,1999,1,0,0,1999,1
2,malware:Zeus,risk_disagreement,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1999,1
2,malware:Zeus,risk_disagreement,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1999,1
2,malware:Zeus,risk_disagreement,0.8,1600,2000,0.8,1,0.000625,1599,401,400,0,1999,1
2,malware:Zeus,risk_disagreement,0.9,1800,2000,0.9,1,0.0005555555555555556,1799,201,200,0,1999,1
2,malware:Zeus,risk_disagreement,0.95,1900,2000,0.95,1,0.0005263157894736842,1899,101,100,0,1999,1
2,malware:Zeus,risk_disagreement,1.0,2000,2000,1.0,1,0.0005,1999,1,0,0,1999,1
