analysis_status,dataset_name,feature_name,final_feature_policy,group_stability,shortcut_risk,source_association
inventory_only,CICIDS2017,native.init_win_bytes_backward,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.init_win_bytes_forward,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.max_packet_length,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.min_packet_length,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.min_seg_size_forward,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.packet_length_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.packet_length_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.packet_length_variance,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.psh_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.rst_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.subflow_bwd_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.subflow_bwd_packets,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.subflow_fwd_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.subflow_fwd_packets,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.syn_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.total_backward_packets,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.total_fwd_packets,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.total_length_of_bwd_packets,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.total_length_of_fwd_packets,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.urg_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,provenance.capture_id,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,provenance.capture_path,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,provenance.dataset,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,provenance.source_file,blocked,not_available,0.0,not_available
inventory_only,CICIDS2017,sample_id,blocked,not_available,0.0,not_available
computed,CICIDS2017,sequence.direction_change_rate,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.48220758164212985
computed,CICIDS2017,sequence.iat_max,shortcut_suspect,0.3383813306852036,0.7164557965449594,0.7164557965449594
computed,CICIDS2017,sequence.iat_mean,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.5649941266555891
computed,CICIDS2017,sequence.iat_std,shortcut_suspect,0.3383813306852036,0.6645053659490376,0.6645053659490376
computed,CICIDS2017,sequence.length_max,shortcut_suspect,0.3383813306852036,0.7383840933255186,0.7383840933255186
computed,CICIDS2017,sequence.length_mean,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.6515886981334571
computed,CICIDS2017,sequence.length_min,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.17212059042454708
computed,CICIDS2017,sequence.length_std,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.5980971181523211
computed,CICIDS2017,sequence.length_sum,shortcut_suspect,0.3383813306852036,0.6819511717652718,0.6819511717652718
computed,CICIDS2017,sequence.packet_count,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.44799614541401844
computed,CICIDS2017,sequence.sequence_length,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.4498587342388869
computed,CICIDS2017,sequence.short_flow_flag,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.0762290539562005
computed,CICIDS2017,sequence.signed_length_mean,shortcut_suspect,0.3383813306852036,0.6616186693147964,0.6061659733868141
computed,CICIDS2017,sequence.signed_length_std,shortcut_suspect,0.3383813306852036,0.6662631155262189,0.6662631155262189
inventory_only,CICIDS2017,trace_id,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.absolute_timestamp,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.capture_id,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.capture_path,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.ip,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.port,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.source_row,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,alignment.tcp_stream,alignment_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,context.sni,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,context.src_port,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,labels.application,label_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,labels.attack,label_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,labels.binary,label_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,labels.category,label_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,labels.family,label_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,labels.tool,label_only,not_available,0.0,not_available
inventory_only,DoHBrw-2020,provenance.capture_id,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,provenance.capture_path,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,provenance.dataset,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,provenance.source_file,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,sample_id,blocked,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.alpn,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.client_cipher_count,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.client_extension_count,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.record_lengths,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.record_mask,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.server_extension_count,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,tls.server_version,safe_conditional,not_available,0.0,not_available
inventory_only,DoHBrw-2020,trace_id,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,context.sni,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,context.src_port,blocked,not_available,0.0,not_available
inventory_only,HIKARI-2021,labels.application,label_only,not_available,0.0,not_available
inventory_only,HIKARI-2021,labels.attack,label_only,not_available,0.0,not_available
inventory_only,HIKARI-2021,labels.binary,label_only,not_available,0.0,not_available
inventory_only,HIKARI-2021,labels.category,label_only,not_available,0.0,not_available
