accuracy,configuration,coverage,dataset,ece,macro_f1,malicious_recall,model,protocol,selective_error,test_count,train_count,weighted_f1,worst_group_macro_f1
0.9805555555555555,safe_common_plus_dataset_specific,1.0,NF-IoT,0.0061386101353237445,0.9805537174617199,0.9708333333333333,ExtraTrees,random_stratified_70_30,0.019444444444444486,1440,3360,0.98055371746172,not_available
0.625,safe_common_plus_dataset_specific,1.0,NF-IoT,0.06978250070691362,0.6198254012954098,0.7416666666666667,LogisticSGD,random_stratified_70_30,0.375,1440,3360,0.6198254012954098,not_available
0.9722222222222222,all_numeric_features,1.0,CICIDS2017,0.021072042255856176,0.972169193632362,0.9915254237288136,HGB,random_stratified_70_30,0.02777777777777779,252,587,0.9722463261267041,not_available
0.9682539682539683,all_numeric_features,1.0,CICIDS2017,0.03645833333333336,0.9681556833259619,0.9745762711864406,RandomForest,random_stratified_70_30,0.031746031746031744,252,587,0.9682680089579693,not_available
0.9801587301587301,all_numeric_features,1.0,CICIDS2017,0.027455357142857097,0.9800881809130991,0.9830508474576272,ExtraTrees,random_stratified_70_30,0.019841269841269882,252,587,0.9801634334417723,not_available
0.8611111111111112,all_numeric_features,1.0,CICIDS2017,0.11609580100129349,0.8610564123568425,0.8983050847457628,LogisticSGD,random_stratified_70_30,0.13888888888888884,252,587,0.8612314483705023,not_available
0.9682539682539683,safe_common_only,1.0,CICIDS2017,0.03282356098314091,0.9681254743232988,0.9661016949152542,HGB,random_stratified_70_30,0.031746031746031744,252,587,0.9682539682539683,not_available
0.9682539682539683,safe_common_only,1.0,CICIDS2017,0.05441468253968253,0.9680911680911681,0.9576271186440678,RandomForest,random_stratified_70_30,0.031746031746031744,252,587,0.9682358793469905,not_available
0.9722222222222222,safe_common_only,1.0,CICIDS2017,0.020436507936507923,0.9720634116212407,0.9576271186440678,ExtraTrees,random_stratified_70_30,0.02777777777777779,252,587,0.9721971468641726,not_available
0.753968253968254,safe_common_only,1.0,CICIDS2017,0.1273467691795378,0.75390625,0.788135593220339,LogisticSGD,random_stratified_70_30,0.24603174603174605,252,587,0.7541542658730159,not_available
0.9722222222222222,safe_common_plus_safe_conditional,1.0,CICIDS2017,0.021072042255856176,0.972169193632362,0.9915254237288136,HGB,random_stratified_70_30,0.02777777777777779,252,587,0.9722463261267041,not_available
0.9682539682539683,safe_common_plus_safe_conditional,1.0,CICIDS2017,0.04352678571428566,0.9681556833259619,0.9745762711864406,RandomForest,random_stratified_70_30,0.031746031746031744,252,587,0.9682680089579693,not_available
0.9880952380952381,safe_common_plus_safe_conditional,1.0,CICIDS2017,0.02812500000000001,0.9880408130981571,0.9830508474576272,ExtraTrees,random_stratified_70_30,0.011904761904761862,252,587,0.9880920366248216,not_available
0.8412698412698413,safe_common_plus_safe_conditional,1.0,CICIDS2017,0.10520570033442511,0.8411798071469087,0.8728813559322034,LogisticSGD,random_stratified_70_30,0.15873015873015872,252,587,0.8414198981413956,not_available
0.9682539682539683,safe_common_plus_dataset_specific,1.0,CICIDS2017,0.023884978711978234,0.9681254743232988,0.9661016949152542,HGB,random_stratified_70_30,0.031746031746031744,252,587,0.9682539682539683,not_available
0.9682539682539683,safe_common_plus_dataset_specific,1.0,CICIDS2017,0.03112599206349213,0.9680911680911681,0.9576271186440678,RandomForest,random_stratified_70_30,0.031746031746031744,252,587,0.9682358793469905,not_available
0.9761904761904762,safe_common_plus_dataset_specific,1.0,CICIDS2017,0.01944444444444447,0.976068376068376,0.9661016949152542,ExtraTrees,random_stratified_70_30,0.023809523809523836,252,587,0.9761769095102428,not_available
0.6428571428571429,safe_common_plus_dataset_specific,1.0,CICIDS2017,0.2538791941521432,0.6111111111111112,0.9915254237288136,LogisticSGD,random_stratified_70_30,0.3571428571428571,252,587,0.6040564373897708,not_available
0.9962962962962963,all_numeric_features,1.0,HIKARI-2021,0.0037945791657443308,0.9962962835949369,0.9981481481481481,HGB,random_stratified_70_30,0.0037037037037036535,1080,2520,0.9962962835949369,not_available
0.9972222222222222,all_numeric_features,1.0,HIKARI-2021,0.007916666666666624,0.9972222198407235,0.9981481481481481,RandomForest,random_stratified_70_30,0.002777777777777768,1080,2520,0.9972222198407233,not_available
0.9972222222222222,all_numeric_features,1.0,HIKARI-2021,0.01122685185185196,0.9972222198407235,0.9981481481481481,ExtraTrees,random_stratified_70_30,0.002777777777777768,1080,2520,0.9972222198407233,not_available
0.962037037037037,all_numeric_features,1.0,HIKARI-2021,0.022271404330839812,0.961997124895402,0.9944444444444445,LogisticSGD,random_stratified_70_30,0.037962962962962976,1080,2520,0.961997124895402,not_available
