method,source_config,target_coverage,score_definition,labels_used_for_ranking,accepted_count,realized_coverage,accepted_benign_count,accepted_malicious_count,accepted_malicious_ratio,benign_class_coverage,malicious_class_coverage,balanced_acceptance_rate,accepted_macro_f1,selective_error,all_sample_malicious_recall_with_abstention
probability_average_ood_score_reject,probability_average,0.95,1-max(local OOD score),False,5700,0.95,2711,2989,0.5243859649122807,0.9328974535443909,0.9660633484162896,0.9494804009803403,1.0,0.0,0.9660633484162896
probability_average_ood_score_reject,probability_average,1.0,1-max(local OOD score),False,6000,1.0,2906,3094,0.5156666666666667,1.0,1.0,1.0,1.0,0.0,1.0
yager_confidence_reject,yager_no_reliability_ood_off,0.1,confidence*(1-uncertainty),False,600,0.1,600,0,0.0,0.20646937370956642,0.0,0.10323468685478321,0.5,0.0,0.0
yager_confidence_reject,yager_no_reliability_ood_off,0.15,confidence*(1-uncertainty),False,900,0.15,900,0,0.0,0.3097040605643496,0.0,0.1548520302821748,0.5,0.0,0.0
yager_confidence_reject,yager_no_reliability_ood_off,0.2,confidence*(1-uncertainty),False,1200,0.2,1200,0,0.0,0.41293874741913283,0.0,0.20646937370956642,0.5,0.0,0.0
yager_confidence_reject,yager_no_reliability_ood_off,0.23366666666666666,confidence*(1-uncertainty),False,1402,0.23366666666666666,1402,0,0.0,0.48245010323468684,0.0,0.24122505161734342,0.5,0.0,0.0
yager_confidence_reject,yager_no_reliability_ood_off,0.25,confidence*(1-uncertainty),False,1500,0.25,1500,0,0.0,0.516173434273916,0.0,0.258086717136958,0.5,0.0,0.0
yager_confidence_reject,yager_no_reliability_ood_off,0.3,confidence*(1-uncertainty),False,1800,0.3,1765,35,0.019444444444444445,0.6073640743289745,0.011312217194570135,0.3093381457617723,1.0,0.0,0.011312217194570135
yager_confidence_reject,yager_no_reliability_ood_off,0.35,confidence*(1-uncertainty),False,2100,0.35,1772,328,0.15619047619047619,0.6097728836889195,0.10601163542340013,0.3578922595561598,1.0,0.0,0.10601163542340013
yager_confidence_reject,yager_no_reliability_ood_off,0.4,confidence*(1-uncertainty),False,2400,0.4,1786,614,0.25583333333333336,0.6145905024088094,0.19844861021331608,0.40651955631106274,1.0,0.0,0.19844861021331608
yager_confidence_reject,yager_no_reliability_ood_off,0.45,confidence*(1-uncertainty),False,2700,0.45,1787,913,0.33814814814814814,0.6149346180316586,0.295087265675501,0.4550109418535798,1.0,0.0,0.295087265675501
yager_confidence_reject,yager_no_reliability_ood_off,0.5,confidence*(1-uncertainty),False,3000,0.5,1792,1208,0.4026666666666667,0.616655196145905,0.39043309631544926,0.5035441462306771,1.0,0.0,0.39043309631544926
yager_confidence_reject,yager_no_reliability_ood_off,0.55,confidence*(1-uncertainty),False,3300,0.55,1970,1330,0.403030303030303,0.6779077770130764,0.4298642533936652,0.5538860152033708,1.0,0.0,0.4298642533936652
yager_confidence_reject,yager_no_reliability_ood_off,0.6,confidence*(1-uncertainty),False,3600,0.6,2262,1338,0.37166666666666665,0.7783895388850653,0.43244990303813835,0.6054197209616019,1.0,0.0,0.43244990303813835
yager_confidence_reject,yager_no_reliability_ood_off,0.65,confidence*(1-uncertainty),False,3900,0.65,2551,1349,0.3458974358974359,0.8778389538885065,0.43600517129928895,0.6569220625938977,1.0,0.0,0.43600517129928895
yager_confidence_reject,yager_no_reliability_ood_off,0.7,confidence*(1-uncertainty),False,4200,0.7,2851,1349,0.3211904761904762,0.9810736407432897,0.43600517129928895,0.7085394060212893,1.0,0.0,0.43600517129928895
yager_confidence_reject,yager_no_reliability_ood_off,0.75,confidence*(1-uncertainty),False,4500,0.75,2895,1605,0.3566666666666667,0.996214728148658,0.5187459599224306,0.7574803440355442,1.0,0.0,0.5187459599224306
yager_confidence_reject,yager_no_reliability_ood_off,0.8,confidence*(1-uncertainty),False,4800,0.8,2895,1905,0.396875,0.996214728148658,0.6157078215901746,0.8059612748694163,1.0,0.0,0.6157078215901746
yager_confidence_reject,yager_no_reliability_ood_off,0.85,confidence*(1-uncertainty),False,5100,0.85,2895,2205,0.4323529411764706,0.996214728148658,0.7126696832579186,0.8544422057032883,1.0,0.0,0.7126696832579186
yager_confidence_reject,yager_no_reliability_ood_off,0.883125,confidence*(1-uncertainty),False,5299,0.8831666666666667,2895,2404,0.4536705038686545,0.996214728148658,0.7769877181641888,0.8866012231564233,1.0,0.0,0.7769877181641888
yager_confidence_reject,yager_no_reliability_ood_off,0.9,confidence*(1-uncertainty),False,5400,0.9,2895,2505,0.4638888888888889,0.996214728148658,0.8096315449256626,0.9029231365371603,1.0,0.0,0.8096315449256626
yager_confidence_reject,yager_no_reliability_ood_off,0.95,confidence*(1-uncertainty),False,5700,0.95,2895,2805,0.4921052631578947,0.996214728148658,0.9065934065934066,0.9514040673710322,1.0,0.0,0.9065934065934066
yager_confidence_reject,yager_no_reliability_ood_off,1.0,confidence*(1-uncertainty),False,6000,1.0,2906,3094,0.5156666666666667,1.0,1.0,1.0,1.0,0.0,1.0
full_fusion_score_ranking,full_fusion,0.1,confidence*(1-uncertainty),False,600,0.1,247,353,0.5883333333333334,0.08499655884377151,0.1140917905623788,0.09954417470307515,1.0,0.0,0.1140917905623788
full_fusion_score_ranking,full_fusion,0.15,confidence*(1-uncertainty),False,900,0.15,536,364,0.40444444444444444,0.18444597384721267,0.11764705882352941,0.15104651633537103,1.0,0.0,0.11764705882352941
full_fusion_score_ranking,full_fusion,0.2,confidence*(1-uncertainty),False,1200,0.2,835,365,0.30416666666666664,0.2873365450791466,0.11797026502908856,0.20265340505411755,1.0,0.0,0.11797026502908856
full_fusion_score_ranking,full_fusion,0.23366666666666666,confidence*(1-uncertainty),False,1402,0.23366666666666666,1024,378,0.26961483594864477,0.35237439779766,0.12217194570135746,0.23727317174950874,1.0,0.0,0.12217194570135746
full_fusion_score_ranking,full_fusion,0.25,confidence*(1-uncertainty),False,1500,0.25,1024,476,0.31733333333333336,0.35237439779766,0.15384615384615385,0.2531102758219069,1.0,0.0,0.15384615384615385
full_fusion_score_ranking,full_fusion,0.3,confidence*(1-uncertainty),False,1800,0.3,1024,776,0.4311111111111111,0.35237439779766,0.25080801551389786,0.30159120665577893,1.0,0.0,0.25080801551389786
full_fusion_score_ranking,full_fusion,0.35,confidence*(1-uncertainty),False,2100,0.35,1024,1076,0.5123809523809524,0.35237439779766,0.3477698771816419,0.35007213748965094,1.0,0.0,0.3477698771816419
full_fusion_score_ranking,full_fusion,0.4,confidence*(1-uncertainty),False,2400,0.4,1122,1278,0.5325,0.3860977288368892,0.4130575307045895,0.39957762977073935,1.0,0.0,0.4130575307045895
full_fusion_score_ranking,full_fusion,0.45,confidence*(1-uncertainty),False,2700,0.45,1422,1278,0.47333333333333333,0.4893324156916724,0.4130575307045895,0.45119497319813096,1.0,0.0,0.4130575307045895
full_fusion_score_ranking,full_fusion,0.5,confidence*(1-uncertainty),False,3000,0.5,1722,1278,0.426,0.5925671025464556,0.4130575307045895,0.5028123166255225,1.0,0.0,0.4130575307045895
full_fusion_score_ranking,full_fusion,0.55,confidence*(1-uncertainty),False,3300,0.55,2022,1278,0.38727272727272727,0.6958017894012388,0.4130575307045895,0.5544296600529142,1.0,0.0,0.4130575307045895
full_fusion_score_ranking,full_fusion,0.6,confidence*(1-uncertainty),False,3600,0.6,2293,1307,0.3630555555555556,0.7890571231933929,0.4224305106658048,0.6057438169295989,1.0,0.0,0.4224305106658048
full_fusion_score_ranking,full_fusion,0.65,confidence*(1-uncertainty),False,3900,0.65,2593,1307,0.3351282051282051,0.8922918100481761,0.4224305106658048,0.6573611603569904,1.0,0.0,0.4224305106658048
full_fusion_score_ranking,full_fusion,0.7,confidence*(1-uncertainty),False,4200,0.7,2770,1430,0.3404761904761905,0.9532002752924983,0.46218487394957986,0.7076925746210391,1.0,0.0,0.46218487394957986
full_fusion_score_ranking,full_fusion,0.75,confidence*(1-uncertainty),False,4500,0.75,2770,1730,0.3844444444444444,0.9532002752924983,0.5591467356173239,0.756173505454911,1.0,0.0,0.5591467356173239
full_fusion_score_ranking,full_fusion,0.8,confidence*(1-uncertainty),False,4800,0.8,2770,2030,0.42291666666666666,0.9532002752924983,0.6561085972850679,0.8046544362887831,1.0,0.0,0.6561085972850679
full_fusion_score_ranking,full_fusion,0.85,confidence*(1-uncertainty),False,5100,0.85,2770,2330,0.4568627450980392,0.9532002752924983,0.7530704589528119,0.8531353671226551,1.0,0.0,0.7530704589528119
full_fusion_score_ranking,full_fusion,0.883125,confidence*(1-uncertainty),False,5299,0.8831666666666667,2770,2529,0.47725986035100965,0.9532002752924983,0.8173884938590821,0.8852943845757901,1.0,0.0,0.8173884938590821
full_fusion_score_ranking,full_fusion,0.9,confidence*(1-uncertainty),False,5400,0.9,2770,2630,0.48703703703703705,0.9532002752924983,0.8500323206205559,0.9016162979565271,1.0,0.0,0.8500323206205559
full_fusion_score_ranking,full_fusion,0.95,confidence*(1-uncertainty),False,5700,0.95,2772,2928,0.5136842105263157,0.9538885065381968,0.9463477698771816,0.9501181382076892,1.0,0.0,0.9463477698771816
full_fusion_score_ranking,full_fusion,1.0,confidence*(1-uncertainty),False,6000,1.0,2906,3094,0.5156666666666667,1.0,1.0,1.0,0.9981646477281856,0.0018333333333333333,1.0
