fold_id,method,candidate,switches,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,parameter0,parameter1,feasible,optimal,selected
4,Fixed-Dev16,11,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,1.0,no_switch,True,False,False
4,Fixed-Dev16,12,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,no_switch,0.25,True,False,False
4,Fixed-Dev16,13,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,no_switch,0.5,True,False,False
4,Fixed-Dev16,14,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,no_switch,1.0,True,False,False
4,Fixed-Dev16,15,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,no_switch,no_switch,True,False,False
4,Logistic-Global4,0,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.25,0.25,True,True,True
4,Logistic-Global4,5,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.5,0.5,True,True,False
4,Logistic-Global4,10,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.75,0.75,True,True,False
4,Logistic-Global4,15,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,1.01,1.01,True,True,False
4,HGB-Global4,0,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.25,0.25,True,True,True
4,HGB-Global4,5,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.5,0.5,True,True,False
4,HGB-Global4,10,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,0.75,0.75,True,True,False
4,HGB-Global4,15,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0,1.01,1.01,True,True,False
